Sample pc1 pc2 pc3 pc4 pc5 pc6 pc7 pc8 pc9 pc10 pc11 pc12 pc13 pc14 pc15 pc16 pc17 pc18 pc19 pc20 Population Population.2
HG01781 61.4606 105.098 -22.175 38.8078 -1.30052 -20.4515 -0.40405 1.27961 1.67468 4.35995 -5.37758 1.09788 -5.83634 -7.1412 -3.05669 -4.66805 3.97901 -7.97565 -0.815527 3.9497 IBS EUR
HG01783 58.3565 102.325 -20.7096 37.6865 -3.94276 -20.6171 -1.37302 1.50343 -0.421809 13.1084 0.310891 -6.1751 7.99428 -1.4576 -13.2341 1.02067 4.58907 1.25089 -2.42367 -4.99758 IBS EUR
HG01784 60.1207 101.995 -22.1499 39.8323 -1.57181 -21.985 -3.44757 1.23236 -3.18429 2.02795 -2.6827 -6.05079 -4.54806 -5.1361 -3.68746 1.53335 -1.08909 -3.3409 3.03403 -3.97012 IBS EUR
HG01785 64.9102 105.194 -20.9287 40.049 -4.00884 -14.2379 0.930244 1.01658 4.00689 -3.33552 3.5024 0.949998 -2.97276 -3.18897 3.48676 3.03641 2.50383 0.214794 0.629099 -1.05073 IBS EUR
HG01786 62.4253 104.096 -21.9431 39.0251 -1.29393 -18.9053 0.946779 3.62878 2.75926 14.3267 4.28869 -12.7587 -2.94504 -4.28779 -6.98744 -3.62195 8.84086 2.70425 -1.73468 2.11344 IBS EUR
HG01789 67.0601 104.69 -23.7622 37.1708 -1.56058 4.72708 -2.9475 0.311184 1.09996 -6.48318 -2.20215 -14.2049 -6.07935 -7.00789 -0.181166 -0.252537 -4.09663 11.5273 -1.08132 11.9801 GBR EUR
HG01790 67.2715 102.739 -20.1144 36.6478 0.888596 6.63315 -0.437663 0.95077 1.07574 7.472 2.18505 -14.3541 -1.5154 -13.5098 -9.89955 2.04586 1.21571 5.03602 -4.75591 10.2418 GBR EUR
HG01791 66.9589 104.063 -21.2703 35.3352 3.00164 5.40823 0.608863 0.692785 -2.56169 6.86021 2.92725 -19.8705 2.84812 -14.7694 -8.22084 6.85552 -5.51983 3.26271 2.1099 0.039541 GBR EUR
HG01794 97.1049 -136.391 -3.8111 31.7609 -44.0888 7.01453 0.587156 -1.4995 -2.43547 -9.1047 -15.6183 1.93723 -8.69782 3.31589 -0.969815 1.61718 2.78951 3.02283 -2.82343 2.02994 CDX EAS
HG01795 96.45 -130.734 -0.649249 29.3541 -39.1569 3.52174 0.194575 2.10996 4.47738 15.9807 -14.7976 -4.36698 1.94739 -1.94099 -6.04506 -1.47983 -1.41198 1.89907 -0.0278197 -1.92858 CDX EAS
HG01796 99.4283 -133.359 -1.07261 30.8923 -44.6186 8.12972 -0.310269 -1.27862 0.815444 17.1879 -20.1098 -1.14432 2.62925 -3.07718 1.02783 -0.318964 -3.15415 1.07262 -1.78379 -1.52972 CDX EAS
HG01797 96.0971 -130.811 -3.83718 30.1293 -47.3999 5.47725 -2.38799 -2.45559 3.82095 13.8112 -18.4286 -7.70941 7.76084 4.34308 3.14592 0.115804 1.66075 -3.7271 1.01656 -3.63143 CDX EAS
HG01798 97.1997 -131.298 -8.3984 24.3697 -6.88199 0.754216 0.823735 2.557 -0.835712 13.4227 17.9883 0.414126 7.46453 -5.3874 -3.07381 -0.162287 3.77905 -0.664829 4.42037 2.42705 CDX EAS
HG01799 99.9719 -134.62 -1.44884 29.2114 -42.8474 5.43445 0.414713 2.21433 2.18518 15.0696 -19.1215 -4.54009 4.08959 -5.68865 2.39164 0.158778 -2.50358 -5.09342 0.536478 -2.57708 CDX EAS
HG01800 96.6663 -132.671 -4.29504 29.6412 -40.7489 4.60342 -1.2359 3.13438 1.70181 14.1225 -14.4239 -5.5814 1.41388 4.493 1.6698 0.062936 0.923624 -0.870617 2.50637 -5.78276 CDX EAS
HG01801 94.2145 -131.047 -0.419791 28.2198 -41.259 7.53173 1.38288 -1.59439 -0.263861 -13.5144 -18.5918 5.88826 -2.17444 1.9728 -1.86977 0.0419835 4.35311 0.287781 0.216149 -4.05248 CDX EAS
HG01802 94.8287 -133.126 -2.51065 28.2425 -34.8806 4.40122 -2.26139 -0.640162 3.69497 3.28074 -11.4513 -6.41624 0.57037 -1.03152 0.692061 0.0889824 4.32737 3.1933 1.0548 -0.925667 CDX EAS
HG01804 96.449 -132.779 -0.843503 30.6176 -41.3718 8.13506 0.569663 -2.084 -2.72293 -5.71435 -14.643 -0.167233 -2.59993 3.66145 -4.73776 -0.492584 -0.499826 -3.21169 3.01145 -1.04945 CDX EAS
HG01805 96.4045 -133.476 -2.14034 32.1845 -41.8244 6.37116 -1.44588 -3.79207 1.30728 -1.88358 -15.4205 -2.75777 -3.40171 -3.42179 -1.05448 1.37383 -0.602366 -2.48031 -0.796211 -1.9334 CDX EAS
HG01806 94.2475 -131.994 -2.10172 32.7968 -45.7465 6.8609 -0.978209 0.082697 3.86948 13.3748 -11.4824 -9.49749 2.82501 -0.496349 -2.38323 0.711911 -2.849 -1.74323 0.490145 -4.90865 CDX EAS
HG01807 95.4126 -131.948 -2.71027 30.1919 -46.0092 5.30007 -0.72882 -2.20072 2.11353 1.09591 -26.2882 3.62481 -2.45702 0.770403 1.57328 -0.281292 -0.177771 0.262529 0.589359 1.64829 CDX EAS
HG01808 96.592 -134.09 -3.11368 32.3004 -39.0017 3.77451 2.24994 -1.83931 5.74098 4.49738 -13.9492 -5.07217 -1.61345 -0.689003 -7.39994 0.88986 1.40032 0.872003 2.85207 -0.20509 CDX EAS
HG01809 97.5227 -132.496 -3.14303 33.1214 -43.1257 6.89844 0.0996208 -2.23665 1.32069 -11.2431 -20.6128 6.935 -7.19018 3.14112 -0.668293 -1.08462 -1.47768 1.5717 -0.799093 1.1982 CDX EAS
HG01810 97.4725 -131.637 -2.93481 30.3016 -43.3048 8.10359 -1.84642 0.444025 4.80797 14.5055 -17.0445 -5.47634 0.182317 1.81476 -1.81445 2.69182 0.313345 1.06049 1.71507 -1.91904 CDX EAS
HG01811 98.6073 -134.399 -4.68186 34.112 -46.2616 4.87426 -2.24097 0.495764 4.05294 18.1755 -15.3182 -4.91419 1.09691 -6.03613 -5.34892 -0.67639 -4.97819 -0.480678 0.404536 -0.440403 CDX EAS
HG01812 97.6265 -134.035 -4.02467 30.2416 -45.4521 5.53091 -2.01718 2.07603 5.83417 15.8524 -14.1353 -4.84487 -1.29468 -4.9733 -4.20068 1.36619 -3.93339 2.72967 1.70019 0.848706 CDX EAS
HG01813 96.3135 -133.768 -2.9999 31.095 -39.5564 4.6238 1.5143 -0.0765408 1.64993 -0.361919 -17.3592 -4.79001 0.321817 -2.76707 2.6167 -0.00779264 -0.397049 -1.97715 5.31755 1.21368 CDX EAS
HG01815 95.0346 -132.021 -0.0544061 30.5978 -43.1355 5.95539 1.86506 -1.07148 -0.195436 -6.21247 -17.3019 3.42553 -4.84046 -2.16313 -1.88267 0.788431 -1.50727 1.38867 4.67087 3.71239 CDX EAS
HG01816 96.8634 -134.22 -3.3283 34.59 -44.2672 5.71921 -1.05474 1.22271 5.62219 16.7531 -13.8639 -13.0312 3.54988 -2.46447 -3.19165 -0.606697 2.75492 -4.44021 -2.41001 1.59125 CDX EAS
HG01817 95.2039 -133.228 -0.468829 32.8238 -44.7746 6.51048 0.724616 -0.0150004 1.10469 18.4146 -13.018 -9.83304 -2.88046 1.6899 -3.5514 0.294461 -0.890178 -2.53707 0.254396 -3.1915 CDX EAS
HG01840 95.0109 -129.053 -0.597735 27.9002 -28.2163 4.16337 2.08974 -0.774802 2.15345 2.4947 -6.82983 -3.6035 -2.4997 0.924851 -0.640118 -2.78925 2.7177 2.05724 2.9505 -2.181 KHV EAS
HG01841 96.4921 -128.405 -2.5268 30.4639 -34.7741 2.56905 -1.00555 0.146508 -0.141478 15.7726 -6.05943 -6.97088 1.59017 3.18178 2.33373 -1.52853 -5.27735 3.00598 -5.17843 1.20294 KHV EAS
HG01842 97.4386 -129.055 -2.56697 29.7789 -33.896 4.35715 -1.00012 -0.761746 -1.09714 8.99078 -11.547 -4.0327 2.02714 0.364142 -0.799429 2.76896 -0.158672 1.98337 2.65323 -2.50673 KHV EAS
HG01843 97.9282 -128.798 -0.676695 28.9508 -32.0285 1.91767 -1.49477 -1.56869 0.259615 -0.791262 -10.3078 -3.99238 -0.803498 3.57797 2.92289 1.58691 2.60343 0.593578 1.92212 2.48871 KHV EAS
HG01844 96.4362 -129.148 -1.33146 27.4628 -32.2708 1.32162 0.0980633 -0.374436 0.61671 16.9088 -5.55483 -8.72821 1.32613 -0.359712 -4.07627 0.709784 -0.718066 3.89145 -1.73179 -3.66357 KHV EAS
HG01845 95.2864 -128.475 -0.83309 29.9632 -31.2137 5.20155 -1.89117 1.83836 0.293162 3.84046 -3.80664 1.20258 -5.06537 -3.27827 1.74896 -3.40876 0.801602 2.37877 -1.01086 -3.9549 KHV EAS
HG01846 94.7053 -128.056 1.22388 30.0765 -32.9869 4.3352 -2.01745 0.0337794 4.57007 14.4454 -2.87832 -2.779 0.989446 -0.378288 0.778279 -4.33075 -3.1211 2.23559 -2.65845 0.362468 KHV EAS
HG01847 97.3287 -127.706 -0.72454 26.8733 -37.0114 6.32673 0.437424 2.69127 0.556594 15.1834 -8.2188 -6.49742 1.3194 -6.08863 -1.69989 1.29443 0.455859 -2.05618 4.35388 -2.39574 KHV EAS
HG01848 94.3417 -130.034 1.2317 27.4501 -33.1207 7.48711 -2.14311 2.39895 2.8417 3.38139 -11.9069 -1.04428 1.1168 -2.41001 -2.70724 -5.93668 -0.298326 0.733743 -5.4018 2.73937 KHV EAS
HG01849 96.9504 -127.798 0.432502 30.3283 -35.459 3.35101 -1.05891 -1.45744 1.63338 6.70445 -7.764 -3.79973 -1.74216 1.72853 2.65809 0.461126 3.21414 -1.22016 1.50343 0.8296 KHV EAS
HG01850 94.2131 -129.145 -6.05746 25.677 -32.222 5.72209 0.533534 -0.610442 0.6629 -0.507169 -15.1853 0.758201 -5.4624 -3.74315 -0.0978618 0.2031 -0.0983874 -0.0213071 2.47914 -0.236302 KHV EAS
HG01851 95.3444 -133.353 -2.85968 29.0792 -34.2951 3.9935 -0.637547 0.407331 -2.24259 1.24042 -16.3936 1.55111 1.55136 1.10032 -0.603241 -0.541521 4.85031 5.2373 0.0805287 -1.02212 KHV EAS
HG01852 97.1606 -128.29 -3.17644 29.201 -32.9816 5.97097 -2.63393 1.4887 2.63784 11.8791 -4.8088 -2.52909 3.86158 -7.16936 -0.244951 -2.52506 -5.448 3.91263 -1.01383 -1.47556 KHV EAS
HG01853 95.7824 -129.507 -0.662097 28.2403 -35.7306 6.24084 1.59865 -2.76186 -2.34422 -14.3268 -10.4841 8.3059 -8.10409 5.11299 -1.05121 -1.35095 -4.0776 0.182633 -2.19696 1.86506 KHV EAS
HG01855 95.178 -128.195 -1.7493 29.9451 -31.4137 4.68438 1.11003 0.0473248 2.58686 14.9477 -4.95168 -6.907 1.74496 -3.7688 -0.805585 -1.76566 -1.2899 2.82863 -0.662468 -2.23759 KHV EAS
HG01857 96.9356 -130.209 -2.80893 28.4257 -29.3718 3.42945 0.227938 2.10398 1.70047 16.5376 -12.0493 -1.26769 1.87726 -3.03615 -1.19535 1.30878 -5.19558 1.35894 -0.351041 0.578185 KHV EAS
HG01858 96.0488 -132.859 -1.45515 30.3871 -33.0621 6.32145 1.26732 -2.90791 -3.2305 -14.4461 -12.7324 4.09849 -4.94963 7.60196 1.55273 0.568754 0.309367 0.224374 0.742278 -4.93209 KHV EAS
HG01859 95.2586 -131.32 -4.70158 29.6578 -32.6769 5.40381 -0.963979 1.06584 1.15471 15.0307 -9.91809 -8.27413 0.490813 -1.98929 -1.48875 -3.36454 0.353064 6.00174 -1.12823 3.07682 KHV EAS
HG01860 97.318 -132.338 -1.34405 28.5181 -37.5116 3.14889 -0.594755 -0.780075 0.893838 0.197015 -11.2294 -1.72778 -4.26739 3.38865 2.61022 1.10707 -0.874549 1.81789 -5.39001 2.33542 KHV EAS
HG01861 95.906 -129.347 0.459318 27.321 -31.2381 4.99792 -0.373754 -0.567316 4.34694 13.2813 -7.09591 -5.01523 0.513631 -3.94033 1.76802 -0.910361 -2.90538 1.26003 -3.03527 1.85953 KHV EAS
HG01862 96.8082 -128.828 -1.01007 28.1262 -27.0603 2.82157 -0.242739 -2.32265 6.26491 10.7618 -3.89767 -8.0854 5.23659 -2.68286 -4.01169 -3.6078 -2.72787 -4.55289 0.736723 -3.89694 KHV EAS
HG01863 96.7775 -130.918 -1.75962 26.2402 -28.131 5.98383 -0.407375 0.970678 4.03929 14.0109 -4.08036 -3.10541 2.01731 -7.12445 -5.66419 -3.21097 -5.01071 1.80421 -4.47912 -4.43691 KHV EAS
HG01864 94.3195 -130.232 -0.378254 29.6273 -26.6202 3.97473 -0.853933 -1.13609 2.96904 -15.24 -13.0901 4.51299 -3.18949 1.74499 2.86617 1.22739 -1.10477 1.20145 -3.59256 -2.56879 KHV EAS
HG01865 97.161 -129.727 -1.86382 29.1983 -30.9516 5.30722 0.270459 -2.08754 0.873467 1.95746 -15.9045 -5.18921 2.46564 2.89047 0.337169 -1.19605 -0.0696204 2.5956 -0.0707427 0.844232 KHV EAS
HG01866 95.0033 -126.454 -0.774238 26.365 -34.2808 3.73422 0.122087 0.659444 -3.39037 -14.1437 -12.613 3.53906 -6.06787 -4.99492 0.797752 3.03233 4.8682 0.431112 3.42149 1.47803 KHV EAS
HG01867 94.9721 -128.067 -3.38737 28.4541 -28.3873 0.0610125 -2.55097 0.327467 0.955815 4.6762 -15.8691 -3.50654 -2.43508 4.17095 1.85683 -3.48979 -4.20863 5.62968 2.85801 0.997275 KHV EAS
HG01868 97.2394 -129.858 -1.5027 29.1382 -33.7955 5.91936 0.0782888 -0.610733 -0.517154 -3.072 -11.6713 -5.38322 -1.90427 7.40452 -0.604214 1.04765 2.98865 -0.230906 -6.01506 3.62084 KHV EAS
HG01869 96.2618 -131.755 -2.02577 29.4248 -33.2355 5.29906 1.2572 -4.1793 0.461547 -11.8602 -6.7885 6.36786 -2.7443 -0.24833 2.41306 1.66136 -0.732243 -1.25655 1.23421 0.600692 KHV EAS
HG01870 95.0175 -129.919 -5.46313 27.4047 -33.3732 3.71342 0.663417 2.69193 1.33591 12.358 -11.6844 -5.86027 -1.08431 -5.27031 1.39737 -2.45708 -4.06789 -0.114975 1.02585 -1.81464 KHV EAS
HG01871 95.4592 -128.481 0.376758 27.3812 -33.7099 4.75909 -0.391937 0.0885845 6.78284 7.42879 -10.4689 -0.830702 -1.74919 -6.9539 0.23981 0.294155 -8.45159 -0.917927 1.12098 -1.46754 KHV EAS
HG01872 95.6953 -127.5 -2.68402 23.2803 -24.9615 5.48846 2.92155 -0.584269 0.3048 -10.7601 -3.61568 6.61185 -3.10816 -5.80138 6.8063 1.04747 -2.44379 -0.439027 3.22396 2.19616 KHV EAS
HG01873 94.849 -128.906 -4.04301 28.0637 -31.6704 0.560744 -1.72773 1.47295 1.38855 17.3446 -10.2017 -5.67036 3.47462 -7.15726 2.74261 -2.65478 -3.21683 -0.999207 -1.13535 2.46909 KHV EAS
HG01874 96.4502 -126.158 -2.30283 25.5391 -30.2864 2.63174 0.09734 2.38108 1.43255 16.2702 -7.75632 -7.13041 5.14159 -1.87599 1.38367 -2.30716 3.09887 9.33102 -1.97955 7.01496 KHV EAS
HG01878 96.9874 -126.978 -0.1558 28.0178 -29.6674 2.90557 -1.97045 1.34008 0.0186213 5.53939 -14.6982 -3.67055 -3.37135 -3.15044 -1.91769 -1.9392 -5.20572 -3.58088 -0.717625 -1.67251 KHV EAS
HG01879 -171.157 -0.281908 -2.70329 5.45236 -0.888848 5.07276 2.77165 12.6517 -8.29785 -2.80651 -0.0202659 2.00704 4.1703 -1.40217 -2.56353 -8.53735 -2.55878 4.38807 -2.60387 4.53807 ACB AFR
HG01880 -86.1091 -2.75936 26.2968 -8.83777 -2.67485 3.1771 1.98831 13.124 8.13078 15.4901 0.117958 -4.47826 7.39914 -1.40233 1.02574 -3.20849 -4.26571 8.10756 7.64264 -10.8125 ACB AFR
HG01882 -206.302 -14.0417 -0.747635 1.99971 0.959861 3.66111 7.8685 15.8413 -2.14955 -5.60455 3.49338 -0.915819 1.64734 0.761171 0.485488 -2.39781 3.68295 5.55917 3.67728 -2.07302 ACB AFR
HG01883 -175.764 -1.49172 -0.930277 4.05724 -1.00344 3.52911 1.40179 15.9508 0.857783 -7.11333 0.524274 -3.40733 -1.62578 -0.415545 3.70811 -0.568895 -1.44891 2.65819 -0.238146 -9.79721 ACB AFR
HG01885 -200.576 -9.91562 -2.43382 1.71883 -0.121387 -0.0946458 -2.39547 10.719 2.79384 19.2534 3.69377 -6.73475 8.44147 -3.9879 -2.94462 0.724404 -1.06434 8.04187 4.19296 6.15056 ACB AFR
HG01886 -184.111 -3.79116 -2.57493 2.22896 0.118171 0.229516 3.071 11.8487 -0.624049 -4.79407 -1.94616 -3.74885 -0.265902 -8.14712 6.52846 -9.31467 0.215943 4.09997 13.9008 0.700601 ACB AFR
HG01889 -206.605 -15.8758 -1.98353 1.35837 -3.49249 0.881465 2.46422 8.52872 -0.776552 -5.98862 -1.4202 0.162784 4.61857 0.517556 -3.18545 -2.91815 2.46506 3.04455 -3.7349 2.71891 ACB AFR
HG01890 -178.037 -1.98156 -5.03006 4.50954 0.277179 0.133967 1.13775 16.0522 -0.522198 25.0191 3.58184 -12.1967 11.8923 -2.25337 -3.84514 -6.25819 -10.2342 -5.9489 15.4384 1.99857 ACB AFR
HG01892 69.1003 -16.0904 -95.0444 -116.103 -3.61411 6.95532 4.65844 -0.0684713 -2.21983 -4.47123 4.97816 -1.93782 -1.40406 1.27172 -9.74031 3.45847 6.03418 2.43891 3.08157 -5.21279 PEL AMR
HG01893 48.0956 0.105034 -78.859 -87.3314 -5.85532 -2.72853 5.55362 -2.87776 -5.44663 -22.2818 1.58176 0.438137 -5.93622 5.45616 -3.38926 -5.26047 -1.84991 1.79924 -5.33078 -5.58508 PEL AMR
HG01894 -193.365 -8.58101 -0.189673 5.63923 0.784604 5.13641 1.37587 15.4174 -0.510101 -3.33025 3.06897 -3.87337 -1.32162 -3.63323 0.275873 -5.26819 0.519197 -6.50241 -2.82976 -3.51963 ACB AFR
HG01896 -205.401 -16.2806 0.883951 0.307726 -2.6284 2.24306 5.47781 13.9461 -0.459788 -1.10694 -0.256419 -3.7173 3.18553 1.29681 -2.33955 -7.42326 -5.8862 -7.75298 -1.75587 -2.10918 ACB AFR
HG01912 -188.008 -4.52024 -0.275004 0.803599 -0.12033 3.82226 5.37485 10.494 -1.46619 -8.24789 -9.13792 -6.69569 -3.16615 -4.86447 -0.715448 -3.33585 2.88287 -1.53728 10.5708 0.956091 ACB AFR
HG01914 -174.417 1.37908 -4.30643 3.80121 -4.10536 1.65912 5.48152 11.4844 -4.28409 -9.06695 -1.1728 1.53161 -1.08687 -5.59446 6.93146 -2.17101 -1.92437 -2.49468 0.0855457 -1.5905 ACB AFR
HG01915 -191.864 -11.0019 -0.295761 4.00147 -0.806561 1.92771 1.00447 11.9916 -0.780556 -4.86396 1.35908 3.96533 -3.56237 0.910414 -0.104866 -12.8238 1.83006 2.75401 11.7371 -2.82988 ACB AFR
HG01917 87.2521 -29.1731 -116.096 -146.59 -7.89005 12.8907 0.0817807 -3.15248 -7.97644 -10.3898 9.90736 -19.5809 -3.70012 5.08503 -27.6128 4.36619 6.75198 -0.713965 0.750071 -13.0118 PEL AMR
HG01918 89.3624 -15.8853 -102.973 -127.986 -7.92735 7.4283 0.739102 -2.18912 -4.62347 -21.5899 1.54825 -3.21596 -9.38225 6.4033 -17.4148 2.22711 9.80094 -4.1197 7.13906 -9.90418 PEL AMR
HG01920 97.2146 -47.2566 -130.828 -172.472 -4.99931 16.9249 3.79755 -2.79139 -6.51431 -34.3748 8.09083 -15.167 -7.20003 6.09511 -30.3682 1.26404 8.27917 -2.67714 3.85781 -6.39702 PEL AMR
HG01921 88.5463 -16.1963 -103.057 -120.649 -3.07694 2.19937 -0.102081 1.37438 -2.44412 -1.25462 -0.560672 -4.51633 -5.49708 -2.40097 -10.2796 5.6344 3.10504 -0.984305 -2.42405 -3.32435 PEL AMR
HG01923 93.6712 -43.0957 -122.569 -158.688 -7.91469 14.0581 2.83448 -1.45304 -3.4644 -13.0181 3.40574 -20.5842 -7.66158 4.68458 -32.3416 4.66697 12.866 -0.786055 1.88031 -10.7525 PEL AMR
HG01924 57.3259 -31.2224 -89.6671 -110.541 -3.8722 10.5431 2.42189 3.76053 -0.238435 -0.272026 5.07368 -15.9649 -0.622185 1.22221 -16.4522 -1.02677 6.53888 -3.21902 4.51469 -0.267021 PEL AMR
HG01926 99.5765 -52.7897 -128.979 -172.633 -5.47996 17.4624 2.69202 -1.83638 -0.102983 3.13737 5.89578 -22.7178 -6.80948 -0.353899 -22.1626 1.95928 3.94456 0.314888 -1.01431 -5.61519 PEL AMR
HG01927 96.7397 -40.1316 -121.257 -159.704 -6.34939 12.8638 2.71205 -0.723085 -4.45128 -9.28431 5.32335 -18.2234 -2.00382 3.77565 -22.2682 2.9781 8.36972 -4.84131 2.4562 -7.44129 PEL AMR
HG01932 90.0457 -17.4894 -108.482 -135.312 -5.01626 6.82199 0.125484 0.279948 0.995228 3.54947 3.96276 -18.4569 -0.807937 2.7016 -20.9196 0.104187 8.76565 3.24009 3.41935 -5.45011 PEL AMR
HG01933 61.0074 -19.7475 -87.3557 -97.886 -6.86201 2.08518 -0.131693 -1.06733 -2.22487 11.6965 2.9053 -2.37572 4.41575 -0.996875 -11.7231 -4.59757 4.5554 -2.27877 -0.0271276 2.57597 PEL AMR
HG01935 85.7746 -12.3035 -101.441 -120.748 -6.12343 6.48011 -0.824366 -1.60361 -5.44115 -8.32823 6.40065 -13.473 -2.84507 7.06935 -17.0645 3.43287 11.2858 5.77484 4.28707 -10.0262 PEL AMR
HG01936 76.4014 -3.24604 -90.344 -103.244 -3.54662 3.21434 2.38028 -0.941032 -3.4256 -15.4423 -1.55398 -12.1077 -0.32802 3.85153 -20.3974 0.301424 11.6084 3.45758 4.66761 -7.69024 PEL AMR
HG01938 97.3092 -51.5237 -128.087 -171.684 -3.45991 12.8173 -0.996705 -2.27074 0.850708 4.04017 5.95336 -20.4005 -2.38927 -2.22613 -17.5947 3.84447 -0.818522 -4.1319 3.13451 -8.27616 PEL AMR
HG01939 85.1672 -14.5437 -107.367 -128.673 -4.45642 9.66961 3.21517 -0.532735 2.48325 3.88873 5.22609 -18.7389 -1.56829 -3.43984 -25.4821 -0.621309 -0.945116 -2.46797 1.67579 -11.1783 PEL AMR
HG01941 74.4468 -30.399 -104.866 -135.649 -3.25722 7.68641 -1.05911 1.00433 1.69807 6.45278 -0.247751 -3.02614 2.87059 -3.32473 -0.108087 0.00480292 -3.54465 4.8675 -7.84545 -2.53124 PEL AMR
HG01942 89.3142 -26.898 -108.342 -142.221 -4.80033 6.52538 1.56707 -1.26153 -2.16359 -18.6394 2.46888 -7.12601 -8.11895 2.38517 -14.991 2.40248 5.15656 -1.29989 -0.2569 -5.98511 PEL AMR
HG01944 89.9637 -69.0085 -70.3379 -75.2908 -8.89352 5.30472 1.43592 -4.10176 -5.31574 -16.5944 4.11887 -9.44432 -7.85333 0.553626 -11.1464 0.968471 7.24511 -4.7394 1.95331 -6.0646 PEL AMR
HG01945 89.3337 -18.7755 -106.759 -128.272 -0.702476 6.24977 -2.50022 0.75292 -2.89882 4.47872 7.64912 -21.0515 -6.65184 1.45682 -23.8163 0.639484 10.3259 0.926696 2.43647 -9.68658 PEL AMR
HG01947 77.3157 1.28424 -82.1214 -90.3259 -2.24425 -0.153961 -3.01768 1.59283 2.2907 1.13289 -0.021289 -0.230744 3.06147 2.43329 10.2792 5.71896 2.15419 2.12072 -5.4363 2.24734 PEL AMR
HG01948 38.2238 -32.9522 -85.0095 -107.152 -4.46888 2.78561 1.9478 0.855711 -4.53966 -4.93519 1.17871 -12.0228 -9.13703 -2.92126 -19.8453 -0.547207 0.856712 -6.14046 7.4811 -0.96935 PEL AMR
HG01950 77.9308 -36.7514 -110.519 -142.875 -5.15466 6.06839 -0.840192 -0.0416763 4.36769 9.49967 1.27361 -15.8697 -1.67743 -0.594569 -4.51932 -0.800988 -1.44919 -3.63614 -1.60706 0.934712 PEL AMR
HG01951 90.2947 -48.4586 -118.437 -166.394 -4.78333 11.5579 2.4114 -1.64929 -1.70064 -15.8853 0.94044 0.48174 -6.14515 5.25429 -6.56139 -0.10812 -0.746141 2.31852 1.28439 3.77756 PEL AMR
HG01953 89.463 -37.0328 -117.041 -153.028 -2.77624 10.5733 3.06916 0.230329 2.17735 -9.60016 6.32076 -17.6804 -6.0741 -0.371735 -20.5865 3.53383 9.06211 0.762458 -0.472404 -10.6973 PEL AMR
HG01954 94.0122 -36.9868 -117.506 -156.47 -3.65782 12.4555 1.60939 -3.84157 -1.50849 -7.97957 3.49645 -18.5389 -1.43717 1.07283 -21.7385 1.07711 8.16971 3.22504 5.96827 -5.89946 PEL AMR
HG01956 -195.458 -6.05923 -2.87691 3.85792 2.41769 1.06968 5.53501 11.5422 -3.92354 -2.71296 0.0294044 -0.636865 -2.17136 -5.80232 3.83544 -11.0225 3.60083 1.46394 4.29786 -1.85062 ACB AFR
HG01958 -175.849 -3.00495 -3.09771 4.57302 -4.99161 5.29566 2.99243 13.6311 -1.70698 -1.81134 2.90441 -2.61427 -1.55593 -2.93519 -1.00043 -3.97821 -4.66844 3.86539 -1.46192 3.56196 ACB AFR
HG01961 98.8265 -51.1557 -128.653 -172.535 -5.79385 13.3549 0.924054 -0.372125 -2.27503 4.75121 0.243023 -19.2903 -6.47348 -3.61049 -21.5084 -0.791828 6.37359 3.48899 -0.286484 -4.25681 PEL AMR
HG01965 59.5342 -0.524974 -80.1911 -89.4649 -3.16934 1.052 1.41211 1.56052 -0.509591 -2.96539 0.0257553 -5.27104 -3.56187 -0.383403 4.88965 6.32898 -0.347172 -0.384686 -1.44203 5.2994 PEL AMR
HG01967 81.0865 2.58777 -90.8034 -98.1533 -7.88692 1.69625 1.20022 -0.390174 -2.5177 5.67339 6.0489 -14.3999 1.94932 1.3828 -18.5667 0.582995 4.82049 0.660167 -2.17073 -2.50553 PEL AMR
HG01968 96.218 -46.7334 -123.957 -162.809 -1.5392 11.2737 0.699445 -0.190786 -0.401882 0.0984933 1.19784 -22.4206 3.6591 -1.95003 -15.0233 0.597039 3.54483 0.994991 0.638836 -5.7189 PEL AMR
HG01970 83.9222 -0.197283 -90.8577 -102.479 -3.51101 2.39603 -1.51336 0.922166 -3.21558 4.73237 3.65378 -18.4925 -2.69283 -7.36234 -23.2117 3.00726 -0.136496 2.17385 8.65986 -11.6545 PEL AMR
HG01971 36.9018 -4.53059 -77.8281 -88.1468 -1.78826 2.10393 -2.30173 5.39201 -0.801301 7.16134 4.4122 -10.7225 3.23421 3.02386 -3.97899 -3.8416 -0.715509 3.79233 5.92976 -3.4111 PEL AMR
HG01973 80.1111 -27.6262 -108.143 -136.544 -5.60223 7.14702 1.13314 0.00684069 1.06866 4.06712 4.79865 -21.4013 -4.38424 -0.167039 -20.9183 -0.159408 5.04735 4.31929 5.64174 -8.23722 PEL AMR
HG01974 95.4402 -46.9588 -123.309 -162.446 -5.45118 10.0591 0.826837 0.209922 2.47048 7.63447 -1.92216 -9.48597 -1.75564 -3.42775 -6.03333 -1.18786 0.366121 9.1236 -0.791224 1.91876 PEL AMR
HG01976 82.1233 -3.35228 -96.1053 -110.642 -5.72097 6.02015 1.59466 -3.36725 -5.92876 -25.7097 -3.02847 -2.82849 -9.95969 7.86283 -24.4277 2.83674 4.95235 2.84959 1.72103 -5.21497 PEL AMR
